Center Name,Legal Name,Building,Street,Borough,ZipCode,Phone,Permit Number,Permit Expiration,Status,Age Range,Maximum Capacity,Day Care ID,Program Type,Facility Type,Child Care Type,Building Identification Number,URL,Date Permitted,Actual,Violation Rate Percent,Average Violation Rate Percent,Total Educational Workers,Average Total Educational Workers,Public Health Hazard Violation Rate,Average Public Health Hazard Violation Rate,Critical Violation Rate,Average Critical Violation Rate,Inspection Date,Regulation Summary,Violation Category,Health Code Sub Section,Violation Status,Inspection Summary Result
HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,82-12,151 AVENUE,QUEENS,11414,718-848-0300,7150,06/27/2023,Permitted,2 YEARS - 5 YEARS,241,DC1185,PRESCHOOL,GDC,Child Care - Pre School,4448909,HEARTSHARE.ORG,06/26/2003,N,40.0000,21.9050,52,11.9769,20,6.1285,40,18.9541,02/17/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,82-12,151 AVENUE,QUEENS,11414,718-848-0300,7150,06/27/2023,Permitted,2 YEARS - 5 YEARS,241,DC1185,PRESCHOOL,GDC,Child Care - Pre School,4448909,HEARTSHARE.ORG,06/26/2003,N,40.0000,21.9050,52,11.9769,20,6.1285,40,18.9541,02/17/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,82-12,151 AVENUE,QUEENS,11414,718-848-0300,7150,06/27/2023,Permitted,2 YEARS - 5 YEARS,241,DC1185,PRESCHOOL,GDC,Child Care - Pre School,4448909,HEARTSHARE.ORG,06/26/2003,N,40.0000,21.9050,52,11.9769,20,6.1285,40,18.9541,02/17/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,82-12,151 AVENUE,QUEENS,11414,718-848-0300,7150,06/27/2023,Permitted,2 YEARS - 5 YEARS,241,DC1185,PRESCHOOL,GDC,Child Care - Pre School,4448909,HEARTSHARE.ORG,06/26/2003,N,40.0000,21.9050,52,11.9769,20,6.1285,40,18.9541,02/17/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,82-12,151 AVENUE,QUEENS,11414,718-848-0300,7150,06/27/2023,Permitted,2 YEARS - 5 YEARS,241,DC1185,PRESCHOOL,GDC,Child Care - Pre School,4448909,HEARTSHARE.ORG,06/26/2003,N,40.0000,21.9050,52,11.9769,20,6.1285,40,18.9541,02/17/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,82-12,151 AVENUE,QUEENS,11414,718-848-0300,7150,06/27/2023,Permitted,2 YEARS - 5 YEARS,241,DC1185,PRESCHOOL,GDC,Child Care - Pre School,4448909,HEARTSHARE.ORG,06/26/2003,N,40.0000,21.9050,52,11.9769,20,6.1285,40,18.9541,02/17/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,82-12,151 AVENUE,QUEENS,11414,718-848-0300,7150,06/27/2023,Permitted,2 YEARS - 5 YEARS,241,DC1185,PRESCHOOL,GDC,Child Care - Pre School,4448909,HEARTSHARE.ORG,06/26/2003,N,40.0000,21.9050,52,11.9769,20,6.1285,40,18.9541,02/17/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,82-12,151 AVENUE,QUEENS,11414,718-848-0300,7150,06/27/2023,Permitted,2 YEARS - 5 YEARS,241,DC1185,PRESCHOOL,GDC,Child Care - Pre School,4448909,HEARTSHARE.ORG,06/26/2003,N,40.0000,21.9050,52,11.9769,20,6.1285,40,18.9541,02/17/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,82-12,151 AVENUE,QUEENS,11414,718-848-0300,7150,06/27/2023,Permitted,2 YEARS - 5 YEARS,241,DC1185,PRESCHOOL,GDC,Child Care - Pre School,4448909,HEARTSHARE.ORG,06/26/2003,N,40.0000,21.9050,52,11.9769,20,6.1285,40,18.9541,02/17/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,82-12,151 AVENUE,QUEENS,11414,718-848-0300,7150,06/27/2023,Permitted,2 YEARS - 5 YEARS,241,DC1185,PRESCHOOL,GDC,Child Care - Pre School,4448909,HEARTSHARE.ORG,06/26/2003,N,40.0000,21.9050,52,11.9769,20,6.1285,40,18.9541,02/17/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,82-12,151 AVENUE,QUEENS,11414,718-848-0300,7150,06/27/2023,Permitted,2 YEARS - 5 YEARS,241,DC1185,PRESCHOOL,GDC,Child Care - Pre School,4448909,HEARTSHARE.ORG,06/26/2003,N,40.0000,21.9050,52,11.9769,20,6.1285,40,18.9541,02/17/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,82-12,151 AVENUE,QUEENS,11414,718-848-0300,7150,06/27/2023,Permitted,2 YEARS - 5 YEARS,241,DC1185,PRESCHOOL,GDC,Child Care - Pre School,4448909,HEARTSHARE.ORG,06/26/2003,N,40.0000,21.9050,52,11.9769,20,6.1285,40,18.9541,02/17/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,82-12,151 AVENUE,QUEENS,11414,718-848-0300,7150,06/27/2023,Permitted,2 YEARS - 5 YEARS,241,DC1185,PRESCHOOL,GDC,Child Care - Pre School,4448909,HEARTSHARE.ORG,06/26/2003,N,40.0000,21.9050,52,11.9769,20,6.1285,40,18.9541,02/17/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,82-12,151 AVENUE,QUEENS,11414,718-848-0300,7150,06/27/2023,Permitted,2 YEARS - 5 YEARS,241,DC1185,PRESCHOOL,GDC,Child Care - Pre School,4448909,HEARTSHARE.ORG,06/26/2003,N,40.0000,21.9050,52,11.9769,20,6.1285,40,18.9541,02/17/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,82-12,151 AVENUE,QUEENS,11414,718-848-0300,7150,06/27/2023,Permitted,2 YEARS - 5 YEARS,241,DC1185,PRESCHOOL,GDC,Child Care - Pre School,4448909,HEARTSHARE.ORG,06/26/2003,N,40.0000,21.9050,52,11.9769,20,6.1285,40,18.9541,02/17/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,82-12,151 AVENUE,QUEENS,11414,718-848-0300,7150,06/27/2023,Permitted,2 YEARS - 5 YEARS,241,DC1185,PRESCHOOL,GDC,Child Care - Pre School,4448909,HEARTSHARE.ORG,06/26/2003,N,40.0000,21.9050,52,11.9769,20,6.1285,40,18.9541,02/17/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,82-12,151 AVENUE,QUEENS,11414,718-848-0300,7150,06/27/2023,Permitted,2 YEARS - 5 YEARS,241,DC1185,PRESCHOOL,GDC,Child Care - Pre School,4448909,HEARTSHARE.ORG,06/26/2003,N,40.0000,21.9050,52,11.9769,20,6.1285,40,18.9541,02/17/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
KIDDIE ACADEMY OF TRIBECA,5 POINT FAMILY LLC,72,Reade Street,MANHATTAN,10007,646-973-1964,105044,09/16/2023,Permitted,0 YEARS - 2 YEARS,36,DC36845,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1001640,Kiddieacademy.com/academies/tribeca,09/16/2019,Y,50.0000,17.4391,12,8.4034,0,4.9984,50,15.3835,04/16/2021,"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.",GENERAL,47.33(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
KIDDIE ACADEMY OF TRIBECA,5 POINT FAMILY LLC,72,Reade Street,MANHATTAN,10007,646-973-1964,105044,09/16/2023,Permitted,0 YEARS - 2 YEARS,36,DC36845,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1001640,Kiddieacademy.com/academies/tribeca,09/16/2019,Y,50.0000,17.4391,12,8.4034,0,4.9984,50,15.3835,04/16/2021,"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.",GENERAL,47.33(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
KIDDIE ACADEMY OF TRIBECA,5 POINT FAMILY LLC,72,Reade Street,MANHATTAN,10007,646-973-1964,105044,09/16/2023,Permitted,0 YEARS - 2 YEARS,36,DC36845,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1001640,Kiddieacademy.com/academies/tribeca,09/16/2019,Y,50.0000,17.4391,12,8.4034,0,4.9984,50,15.3835,04/16/2021,"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.",GENERAL,47.33(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"TUTOR TIME LEARNING CENTERS, LLC","TUTOR TIME LEARNING CENTERS, LLC",7817-25,3 AVENUE,BROOKLYN,11209,718-680-6566,7250,08/10/2023,Permitted,0 YEARS - 2 YEARS,36,DC955,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,3150280,www.tutortime.com,06/20/2003,Y,50.0000,17.4391,4,8.4034,25,4.9984,50,15.3835,04/06/2023,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
LUMINOUS CHILD CARE,"CONGREGATION LUMINOUS, INC.",924,TELLER AVENUE,BRONX,10451,718-298-3930,105559,12/10/2023,Permitted,2 YEARS - 5 YEARS,71,DC40663,PRESCHOOL,GDC,Child Care - Pre School,2001985,,12/10/2021,Y,100.0000,21.9050,15,11.9769,0,6.1285,100,18.9541,01/03/2023,There were no new violations observed at the time of this inspection/visit.,,,N/A,
LUMINOUS CHILD CARE,"CONGREGATION LUMINOUS, INC.",924,TELLER AVENUE,BRONX,10451,718-298-3930,105559,12/10/2023,Permitted,2 YEARS - 5 YEARS,71,DC40663,PRESCHOOL,GDC,Child Care - Pre School,2001985,,12/10/2021,Y,100.0000,21.9050,15,11.9769,0,6.1285,100,18.9541,01/03/2023,There were no new violations observed at the time of this inspection/visit.,,,N/A,
"ADDIE MAE COLLINS COMMUNITY SERVICES, INC.","ADDIE MAE COLLINS COMMUNITY SERVICES, INC.",345,EAST 101 STREET,MANHATTAN,10029,212-831-6407,6148,05/09/2022,Expired-In Renewal,,33,DC2981,PRESCHOOL,GDC,Child Care - Pre School,1079340,www.addiemaecollins.org,03/19/2004,N,50.0000,21.9050,5,11.9769,0,6.1285,50,18.9541,11/04/2021,Exits and other egress Not provided with required signage at time of inspection.,CRITICAL,47.59(a),CORRECTED,Compliance Inspection of Open Violations - Reinspection Required; Fines pending
"KINGS WAY EARLY CHILDHOOD CENTER,INC.","KINGS WAY EARLY CHILDHOOD CENTER,INC.",1742,EAST 18 STREET,BROOKLYN,11229,718-336-1599,7545,11/28/2023,Permitted,2 YEARS - 5 YEARS,59,DC11780,PRESCHOOL,GDC,Child Care - Pre School,3183093,,11/28/2005,Y,0.0000,21.9050,4,11.9769,0,6.1285,0,18.9541,03/03/2021,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
STREAM ACADEMY BY THE BAY,THE STREAM ACADEMY BY THE BAY,1300,209TH ST,QUEENS,11360,718-279-1457,,01/01/1900,Active,3 YEARS - 5 YEARS,0,DC41409,PRESCHOOL,SBCC,School Based Child Care,4130867,,,,50.0000,45.1817,1,8.0094,0,23.3017,50,35.2291,12/07/2022,"Teaching and supervisory staff trained in infection control, reporting of infectious diseases, administration of medication, handling/storage of hazardous materials, general safety, and transportation. New staff trained within 3 months of hire",GENERAL,43.14(b),CORRECTED,Initial Annual Inspection - Reinspection Required
"BRIGHT START CHILD LEARNING CENTER, INC.","Bright Start Child Learning Center, Inc.",23-88,31st Street,QUEENS,11105,718-777-2347,103852,11/03/2024,Permitted,2 YEARS - 5 YEARS,98,DC34687,PRESCHOOL,GDC,Child Care - Pre School,4597006,www.brightstartcenter.com,11/03/2016,Y,33.3333,21.9050,13,11.9769,0,6.1285,33.3333,18.9541,08/11/2021,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
"BRONX SKY CHILD CARE CENTER, INC.","BRONX SKY CHILD CARE CENTER, INC.",495,EAST 158TH STREET,BRONX,10451,718-401-0100,97762,09/28/2023,Permitted,0 YEARS - 2 YEARS,10,DC25181,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,2127465,,09/28/2015,Y,,,4,8.4034,,,,,10/06/2021,Education Director observed having teaching duties when program enrollment exceeds 40; or 60 if program is part of a school and has a permit or Education Director oversees two co-located programs,GENERAL,47.13(c)(2),CORRECTED,
ASTORIA EARLY CHILDHOOD DEVELOPMENT CORP,ASTORIA EARLY CHILDHOOD DEVELOPMENT CORP,2544,CRESCENT STREET,QUEENS,11102,917-567-7316,103635,06/22/2024,Permitted,2 YEARS - 5 YEARS,68,DC31724,PRESCHOOL,GDC,Child Care - Pre School,4019111,www.thedayschoolofastoria.com,06/22/2016,Y,16.6667,21.9050,9,11.9769,0,6.1285,16.6667,18.9541,08/31/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,
"TALMUD TORAH OF CROWN HEIGHTS, INC.","TALMUD TORAH OF CROWN HEIGHTS, INC.",6363,AVENUE U,BROOKLYN,11234,718-444-5800,,01/23/2115,Active,3 YEARS - 5 YEARS,0,DC12129,PRESCHOOL,SBCC,School Based Child Care,3236983,,,,100.0000,45.1817,16,8.0094,50,23.3017,100,35.2291,02/01/2023,Training certificates maintained on site and available upon request,GENERAL,43.14,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
KENNEDY CHILDREN'S CENTER,"KENNEDY CHILDREN'S CENTER, INC.",2212,THIRD AVENUE,MANHATTAN,10035,212-988-9500,94577,08/07/2023,Permitted,2 YEARS - 5 YEARS,177,DC25044,PRESCHOOL,GDC,Child Care - Pre School,1087272,www.kenchild.org,08/07/2015,Y,0.0000,21.9050,63,11.9769,0,6.1285,0,18.9541,04/04/2023,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41(j),OPEN,Initial Annual Inspection - Reinspection Not Required
BUSHWICK UNITED EARLY LEARN,Bushwick United Housing Development Fund Corp.,803,Knickerbocker Avenue,BROOKLYN,11207,347-497-3676,104734,02/13/2023,Expired-In Renewal,,75,DC37711,PRESCHOOL,GDC,Child Care - Pre School,3423720,www.bushwickunited.org,02/13/2019,Y,0.0000,21.9050,6,11.9769,0,6.1285,0,18.9541,02/26/2021,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
NORTHSIDE CENTER FOR CHILD DEVELOPMENT-BRONX EARLY HEADSTART,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.",609,EAST 156TH STREET,BRONX,10455,347-926-5400,39857,05/14/2025,Permitted,0 YEARS - 2 YEARS,10,DC22873,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,2117693,www.northsidecenter.org,05/14/2013,Y,20.0000,17.4391,3,8.4034,0,4.9984,20,15.3835,04/30/2021,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
HELPING HAND ACADEMY II,HELPING HAND ACADEMY II,188-32,JAMAICA AVENUE,QUEENS,11423,718-479-3124,,07/06/2117,Active,3 YEARS - 5 YEARS,0,DC36828,PRESCHOOL,SBCC,School Based Child Care,4231434,,,,100.0000,45.1817,6,8.0094,100,23.3017,100,35.2291,11/03/2021,Commercial building regularly cleaned; kept clean and in good repair; kept free of overcrowding.,GENERAL,131.09(g),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"CHINESE-AMERICAN PLANNING COUNCIL, INC.","CHINESE-AMERICAN PLANNING COUNCIL, INC.",133-14,41  Avenue,QUEENS,11355,718-358-8899,104037,06/05/2023,Permitted,2 YEARS - 5 YEARS,39,DC35339,PRESCHOOL,GDC,Child Care - Pre School,4617434,,06/05/2017,Y,16.6667,21.9050,7,11.9769,16.6667,6.1285,0,18.9541,02/16/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"CHINESE-AMERICAN PLANNING COUNCIL, INC.","CHINESE-AMERICAN PLANNING COUNCIL, INC.",133-14,41  Avenue,QUEENS,11355,718-358-8899,104037,06/05/2023,Permitted,2 YEARS - 5 YEARS,39,DC35339,PRESCHOOL,GDC,Child Care - Pre School,4617434,,06/05/2017,Y,16.6667,21.9050,7,11.9769,16.6667,6.1285,0,18.9541,02/16/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"CHINESE-AMERICAN PLANNING COUNCIL, INC.","CHINESE-AMERICAN PLANNING COUNCIL, INC.",133-14,41  Avenue,QUEENS,11355,718-358-8899,104037,06/05/2023,Permitted,2 YEARS - 5 YEARS,39,DC35339,PRESCHOOL,GDC,Child Care - Pre School,4617434,,06/05/2017,Y,16.6667,21.9050,7,11.9769,16.6667,6.1285,0,18.9541,02/16/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"CHINESE-AMERICAN PLANNING COUNCIL, INC.","CHINESE-AMERICAN PLANNING COUNCIL, INC.",133-14,41  Avenue,QUEENS,11355,718-358-8899,104037,06/05/2023,Permitted,2 YEARS - 5 YEARS,39,DC35339,PRESCHOOL,GDC,Child Care - Pre School,4617434,,06/05/2017,Y,16.6667,21.9050,7,11.9769,16.6667,6.1285,0,18.9541,02/16/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
DREAM CHARTER SCHOOL,DREAM CHARTER SCHOOL,433,EAST 100 STREET,MANHATTAN,10029,646-518-0739,,01/23/2115,Active,2 YEARS - 5 YEARS,0,DC33115,PRESCHOOL,SBCC,School Based Child Care,1083933,,,,100.0000,45.1817,2,8.0094,50,23.3017,50,35.2291,10/18/2022,"Each staff member has documentation showing they received 2 doses measles/mumps vaccine, 1 dose rubella vaccine, 2 doses varicella vaccine and 1 dose Tdap",GENERAL,43.11(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required
NYC MONTESSORI CHARTER SCHOOL,NEW YORK CITY MONTESSORI CHARTER SCHOOL,423,EAST 138 STREET,BRONX,10454,646-660-3214,,01/23/2115,Active,3 YEARS - 5 YEARS,110,DC32531,PRESCHOOL,SBCC,School Based Child Care,2101568,,,,66.6667,45.1817,10,8.0094,0,23.3017,66.6667,35.2291,09/24/2020,Staff submitted immunization record. File maintained confidential. File including electronic available for inspection on site,GENERAL,43.11(c)(2),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
BROOKLYN STAR DAYCARE INC.,BROOKLYN STAR DAYCARE INC.,2175,EAST 22ND STREET,BROOKLYN,11229,718-934-0075,72820,09/02/2024,Permitted,2 YEARS - 5 YEARS,62,DC26168,PRESCHOOL,GDC,Child Care - Pre School,3199915,,09/02/2014,Y,14.2857,21.9050,10,11.9769,0,6.1285,14.2857,18.9541,09/28/2020,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
BEANSTALK CHILDCARE ACADEMY,"NYC EARLY LEARNING COMPANY, INC",3942,White Plains Road,BRONX,10466,718-589-6101,104994,08/07/2023,Permitted,2 YEARS - 5 YEARS,132,DC36650,PRESCHOOL,GDC,Child Care - Pre School,2063371,,08/07/2019,Y,50.0000,21.9050,16,11.9769,0,6.1285,50,18.9541,05/11/2022,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41(j),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"SUNSHINE LEARNING CENTER, INC.","SUNSHINE LEARNING CENTER, INC.",201-04A,LINDEN BOULEVARD,QUEENS,11412,718-525-2154,105834,09/26/2024,Permitted,0 YEARS - 2 YEARS,10,DC41047,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,4271964,sunshinelcenter.org,09/26/2022,Y,100.0000,17.4391,3,8.4034,0,4.9984,100,15.3835,12/06/2022,At time of inspection child care service facility observed Not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49(a),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"URBAN CONCEPTS OF NEW YORK, ROUND THE CLOCK NURSERY, INC","URBAN CONCEPTS OF NEW YORK,ROUND THE CLOCK NURSERY, INC.",2380,MARION AVENUE,BRONX,10458,718-329-6023,6804,10/20/2022,Expired-In Renewal,2 YEARS - 5 YEARS,140,DC228,PRESCHOOL,GDC,Child Care - Pre School,2011053,roundtheclocknursery.org,07/09/2002,N,,,12,11.9769,,,,,09/04/2020,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,GENERAL,47.33(b),CORRECTED,
"URBAN CONCEPTS OF NEW YORK, ROUND THE CLOCK NURSERY, INC","URBAN CONCEPTS OF NEW YORK,ROUND THE CLOCK NURSERY, INC.",2380,MARION AVENUE,BRONX,10458,718-329-6023,6804,10/20/2022,Expired-In Renewal,2 YEARS - 5 YEARS,140,DC228,PRESCHOOL,GDC,Child Care - Pre School,2011053,roundtheclocknursery.org,07/09/2002,N,,,12,11.9769,,,,,09/04/2020,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,GENERAL,47.33(b),CORRECTED,
SUMMER @ AVENUES,Avenues New York LLC,540,WEST   26 STREET,MANHATTAN,10001,212-524-9000,104422,09/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,500,DC37107,ALL AGE CAMP,Camp,Camp,1089424,,06/11/2018,Y,100.0000,26.8868,0,1.0000,100,14.2558,100,21.8553,08/04/2021,Camp Operator fails to provide adequate supervision,PUBLIC HEALTH HAZARD,48.12(a),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
HAPPY CATERPILLAR CLUBHOUSE,HAPPY CATERPILLAR CLUBHOUSE,67-52,79TH ST,QUEENS,11379,718-326-5437,103782,08/30/2024,Permitted,2 YEARS - 5 YEARS,48,DC34504,PRESCHOOL,GDC,Child Care - Pre School,4091601,happycaterpillarclubhouse.com,08/30/2016,Y,16.6667,21.9050,10,11.9769,16.6667,6.1285,0,18.9541,08/14/2020,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
THE LEARNING EXPERIENCE,RIVERDALE CHILDCARE EXPERIENCE  LLC,3210,Riverdale Avenue,BRONX,10463,718-708-5884,97739,09/28/2023,Permitted,0 YEARS - 2 YEARS,28,DC32913,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,2083672,www.thelearningexperience.com,09/28/2015,Y,0.0000,17.4391,13,8.4034,0,4.9984,0,15.3835,06/17/2021,Child care service staff identified/acting as group teachers do Not meet the required qualifications of the position.,GENERAL,47.13(d),CORRECTED,Initial Annual Inspection - Reinspection Not Required
